CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;TITULARIDAD
Madrid-Capital;28076629;EEI-CN;EL TRÉBOL (PROGRAMA CASA DE NIÑOS);Calle De Tristana, 2 ;Madrid;Puente de Vallecas;28018;917772208;-;Público;
Madrid-Sur;28074177;EEI-CN;EL TREBOL (PROGRAMA DE CASA DE NIÑOS);Calle Del Trébol, 2 ;Serranillos del Valle;-;28979;918175871;-;Público;
Madrid-Norte;28058913;EEI-CN;EL VELLON;Calle Talamaca, 5 ;Vellón, El;-;28722;918413172;918434031;Público;
Madrid-Este;28047769;EEI-CN;ELMER;Avenida De Tielmes, 23 ;Carabaña;-;28560;918723769;-;Público;
Madrid-Sur;28072375;EEI-CN;ERASE UNA VEZ;Calle Madrid, 55 ;Moraleja de Enmedio;-;28950;916094603;-;Público;
Madrid-Este;28048701;EEI-CN;FEDERICO GARCIA LORCA;Calle Molino, 3 ;Loeches;-;28890;918851290;918851290;Público;
Madrid-Oeste;28050689;EEI-CN;FRESNEDILLAS DE LA OLIVA;Calle Del Caño, 14 ;Fresnedillas de la Oliva;-;28214;918989200;918998590;Público;
Madrid-Este;28047848;EEI-CN;FRESNO DE TOROTE;Camino Valdeavero, 2 ;Fresno de Torote;-;28815;918791692;918791692;Público;
Madrid-Este;28067276;EEI-CN;GALOPINES;Calle De Sergio Caballero, 14 ;Pezuela de las Torres;-;28812;918869483;-;Público;
Madrid-Norte;28047757;EEI-CN;GARABATOS;Calle De Emilia Pardo Bazán, 13 ;Algete;-;28110;916280477;916280477;Público;
Madrid-Este;28056801;EEI-CN;GARABATOS;Avenida Reyes Magos, 13 ;Alcalá de Henares;-;28806;918802243;-;Público;
Madrid-Capital;28056795;EEI-CN;GINER DE LOS RIOS;Calle De Membezar, 25 ;Madrid;Puente de Vallecas;28053;917860722;917860722;Público;
Madrid-Norte;28078663;EEI-CN;GLORIA FUERTES (PROGRAMA CASA DE NIÑOS);Avenida De España, S/n ;Soto del Real;-;28791;918476915;-;Público;
Madrid-Sur;28047851;EEI-CN;GRIÑON;Calle De La Ermita, 3 ;Griñón;-;28971;918140728;-;Público;
Madrid-Norte;28047149;EEI-CN;GUADALIX DE LA SIERRA;Calle Eras De Abajo, 1 ;Guadalix de la Sierra;-;28794;918471457;918470135;Público;
Madrid-Oeste;28048683;EEI-CN;GUADARRAMA;Calle De Los Dos Escoriales, 3 ;Guadarrama;-;28440;918548694;918542905;Público;
Madrid-Este;28049109;EEI-CN;HUERTA CHICA;Calle De La Solana, S/n ;San Fernando de Henares;-;28830;916734343;916698187;Público;
Madrid-Sur;28071671;EEI-CN;ILUSIONES;Calle De Antonio Machado, 48 ;Rozas de Puerto Real;-;28649;918648639;-;Público;
Madrid-Este;28067288;EEI-CN;JARAMITA;Calle Rafael Sánchez Ferlosio, S/n ;San Fernando de Henares;-;28830;916714765;916698187;Público;
Madrid-Sur;28077385;EEI-CN;JUAN FARIAS (PROGRAMA CASA DE NIÑOS);Calle Toledo, 18 ;Villaviciosa de Odón;-;28670;916161281;-;Público;
Madrid-Sur;28077300;EEI-CN;LA ALAMEDA (PROGRAMA CASA DE NIÑOS);Calle De Concepción Arenal, 15 ;Fuenlabrada;-;28942;914869995;-;Público;
Madrid-Este;28047125;EEI-CN;LA BALLENITA;Avenida De Elena Soriano, 7 ;Fuentidueña de Tajo;-;28597;918728074;918728074;Público;
Madrid-Norte;28074566;EEI-CN;LA CABRERA (PROGRAMA DE CASA DE NIÑOS);Calle De Paraguay, 17 ;Cabrera, La;-;28751;918688512;918688512;Público;
